signal_hour,trades,trigger_rate,win1R,win2R,exp1R,exp2R,exp3R,exp2R_net
0,1778,0.572,0.4798,0.3335,-0.0404,-0.0081,0.0213,-0.1305
1,1817,0.584,0.4986,0.3517,-0.0034,0.0466,0.1226,-0.0758
2,1865,0.599,0.4649,0.3399,-0.0701,0.0132,0.0297,-0.1092
3,2005,0.644,0.4399,0.3052,-0.1207,-0.0932,-0.0449,-0.2155
4,2023,0.65,0.4434,0.3193,-0.1135,-0.0457,-0.0285,-0.168
5,2076,0.667,0.4263,0.2943,-0.1481,-0.1191,-0.1054,-0.2414
6,2089,0.671,0.4313,0.291,-0.1366,-0.1293,-0.0801,-0.2517
7,2042,0.656,0.4148,0.2904,-0.1706,-0.1306,-0.1287,-0.253
8,1996,0.642,0.4429,0.3011,-0.1139,-0.1008,-0.0558,-0.2232
9,2083,0.67,0.4325,0.3015,-0.1339,-0.1017,-0.0895,-0.2241
10,2201,0.707,0.3844,0.2644,-0.231,-0.2135,-0.175,-0.3359
11,2305,0.741,0.3727,0.2568,-0.2543,-0.2334,-0.2266,-0.3558
12,2154,0.692,0.4136,0.2916,-0.1723,-0.1325,-0.1239,-0.2549
13,2055,0.661,0.4404,0.3085,-0.117,-0.0907,-0.0646,-0.2131
14,1931,0.621,0.4909,0.3563,-0.0206,0.0312,0.044,-0.0911
15,1976,0.635,0.4514,0.3198,-0.0986,-0.0683,-0.0361,-0.1906
16,1894,0.609,0.4857,0.3237,-0.0287,-0.0513,-0.0508,-0.1736
17,2013,0.647,0.4446,0.3015,-0.1098,-0.1075,-0.0975,-0.2298
18,2067,0.664,0.4369,0.2946,-0.1252,-0.1306,-0.1177,-0.2529
19,2037,0.655,0.3996,0.2607,-0.2012,-0.2279,-0.2232,-0.3503
20,1960,0.63,0.4388,0.3015,-0.1212,-0.1063,-0.1154,-0.2287
21,1975,0.635,0.441,0.3033,-0.1184,-0.1024,-0.0968,-0.2247
22,2020,0.649,0.4475,0.3114,-0.1049,-0.0746,-0.0219,-0.1969
23,2083,0.67,0.4023,0.2818,-0.196,-0.1637,-0.1656,-0.286
