hour,events,bars,rate,pooled_rate,lift,p_raw,p_fdr,ci_lo,ci_hi
0,127,3120,0.040705128205128206,0.03430265952473184,1.1866464224378945,0.05482458518038368,0.07739941437230638,0.03397435897435897,0.04776442307692303
1,88,3120,0.028205128205128206,0.03430265952473184,0.8222431903506671,0.061527563457169254,0.08203675127622567,0.022748397435897436,0.03397435897435897
2,68,3120,0.021794871794871794,0.03430265952473184,0.6353697379982427,5.294975548614856e-05,0.00042359804388918847,0.016666666666666666,0.026923076923076925
3,69,3120,0.022115384615384617,0.03430265952473184,0.644713410615864,9.757443287861789e-05,0.0005854465972717073,0.016987179487179486,0.027564102564102563
4,80,3120,0.02564102564102564,0.03430265952473184,0.7474938094096973,0.006758205296973399,0.013516410593946798,0.020504807692307694,0.03141025641025641
5,70,3120,0.022435897435897436,0.03430265952473184,0.6540570832334852,0.00014654560519602116,0.0007034189049409015,0.01730769230769231,0.027884615384615386
6,66,3120,0.021153846153846155,0.03430265952473184,0.6166823927630003,2.2022923069881707e-05,0.0002642750768385805,0.016346153846153847,0.026282051282051282
7,87,3119,0.027893555626803464,0.03430265952473184,0.8131601459849641,0.04898798376799437,0.07348197565199155,0.022756410256410255,0.03367543296985247
8,72,3119,0.023084321898044245,0.03430265952473184,0.6729601208151427,0.00032274231267872617,0.0009682269380361784,0.017948717948717947,0.028214171208720745
9,82,3119,0.026290477717217056,0.03430265952473184,0.7664268042616903,0.012084522741024156,0.022309888137275365,0.02052597819114817,0.031751377175344375
10,77,3119,0.024687399807630652,0.03430265952473184,0.7196934625384165,0.0026427590839188434,0.007047357557116916,0.01955739378581235,0.03013786470022443
11,116,3119,0.037191407502404614,0.03430265952473184,1.084213527979952,0.3756024849846845,0.3919330278101056,0.030779095864058994,0.043603719140750244
12,130,3119,0.041680025649246555,0.03430265952473184,1.2150668848051187,0.02670964290646291,0.04578795926822213,0.03493589743589744,0.04871794871794872
13,159,3119,0.050977877524847705,0.03430265952473184,1.4861202668001068,1.6630043808741785e-06,3.991210514098028e-05,0.04296248797691568,0.05897435897435897
14,146,3119,0.04680987495992305,0.03430265952473184,1.364613578319595,0.0002628054118258906,0.0009010471262601964,0.04006410256410257,0.0545046489259378
15,147,3119,0.047130490541840334,0.03430265952473184,1.3739602466642498,0.00017836827195279992,0.0007134730878111997,0.03974358974358974,0.05482526450785508
16,137,3119,0.04392433472266752,0.03430265952473184,1.280493563217702,0.004274837977370957,0.010259611145690297,0.03717948717948718,0.050977877524847705
17,128,3119,0.04103879448541199,0.03430265952473184,1.1963735481158093,0.043476505524839074,0.06956240883974252,0.0342948717948718,0.0483974358974359
18,116,3119,0.037191407502404614,0.03430265952473184,1.084213527979952,0.3756024849846845,0.3919330278101056,0.030779095864058994,0.04423076923076923
19,123,3119,0.039435716575825584,0.03430265952473184,1.1496402063925355,0.11538824274709598,0.13846589129651518,0.033044329210810464,0.04648925937800577
20,136,3119,0.043603719140750244,0.03430265952473184,1.2711468948730473,0.005798328296021403,0.012650898100410332,0.03656160559512237,0.05096153846153846
21,126,3119,0.04039756332157743,0.03430265952473184,1.1776802114264997,0.06843645971925938,0.08644605438222237,0.033664636101314524,0.047435897435897434
22,98,3119,0.03142032702789355,0.03430265952473184,0.9159734977761664,0.40296831300705116,0.40296831300705116,0.025633622072505614,0.037857217429121764
23,120,3119,0.03847386983007374,0.03430265952473184,1.121600201358571,0.2006762318688461,0.22934426499296695,0.03173076923076923,0.045513185315806344
